combo_key,coupling_mode,cleavage_form,strain_pct,clearance_time_mean,clearance_time_std,clearance_time_ci95,n_ruptured_mean,lysis_fraction_mean,cascade_count_mean,n_cleared,n_runs
biphasic_x_constant,biphasic,constant,0,22.449967351782643,9.484144908110176,7.151542112475889,202.7,0.40540000000000004,0.3,10,10
biphasic_x_constant,biphasic,constant,5,21.395306881966853,9.53717453876476,7.191529232085481,195.5,0.39099999999999996,0.8,10,10
biphasic_x_constant,biphasic,constant,10,21.44215440866005,10.336509015097484,7.794269302469581,196.1,0.3922,2.2,10,10
biphasic_x_constant,biphasic,constant,15,22.127454220212137,8.18484979696934,6.171805531699705,198.1,0.39620000000000005,3.6,10,10
biphasic_x_constant,biphasic,constant,20,21.10218698622061,3.546748480581243,2.674434160062917,205.8,0.41159999999999997,8.0,10,10
biphasic_x_constant,biphasic,constant,23,10.577325975240074,3.781970751032269,2.851804074717448,145.9,0.2918,40.2,10,10
biphasic_x_constant,biphasic,constant,25,12.681021937268834,5.11598010121978,3.8577170103311214,175.6,0.35119999999999996,64.4,10,10
biphasic_x_constant,biphasic,constant,30,6.903469445816441,10.1844560693745,7.67961341570281,98.8,0.1976,33.9,10,10
biphasic_x_constant,biphasic,constant,40,2.7175935473772226,6.451032703786924,4.864416612892545,174.8,0.3496,152.8,10,10
biphasic_x_constant,biphasic,constant,60,0.10073627193293999,0.04974781008310127,0.037512454971930974,283.2,0.5664,282.2,10,10
biphasic_x_constant,biphasic,constant,80,0.10073627193293999,0.04974781008310127,0.037512454971930974,312.2,0.6244,311.2,10,10
biphasic_x_constant,biphasic,constant,100,0.10073627193293999,0.04974781008310127,0.037512454971930974,340.1,0.6802,339.1,10,10
biphasic_x_exponential,biphasic,exponential,0,29.787140439931328,7.872748411453842,5.936464736772847,229.3,0.45859999999999995,0.0,10,10
biphasic_x_exponential,biphasic,exponential,5,24.999808666210185,5.408303978298555,4.0781445278001325,202.8,0.4056,0.0,10,10
biphasic_x_exponential,biphasic,exponential,10,26.31146100000358,5.199726660735608,3.9208663034888267,217.2,0.4344,1.9,10,10
biphasic_x_exponential,biphasic,exponential,15,23.8827475110022,8.227146957734298,6.203699806763986,199.5,0.399,2.0,10,10
biphasic_x_exponential,biphasic,exponential,20,23.108549423267608,9.649689480529366,7.276371392565786,207.6,0.4151999999999999,9.8,10,10
biphasic_x_exponential,biphasic,exponential,23,13.25719849678325,9.08261239651433,6.848765563400775,159.7,0.3194,44.4,10,10
biphasic_x_exponential,biphasic,exponential,25,13.66464381513266,5.619488824887691,4.2373889655994175,182.0,0.364,68.3,10,10
biphasic_x_exponential,biphasic,exponential,30,12.225057806471929,9.100571965362795,6.86230801917155,151.2,0.30240000000000006,41.3,10,10
biphasic_x_exponential,biphasic,exponential,40,5.36085729851224,8.354162830773777,6.299476429094793,181.7,0.3634,139.6,10,10
biphasic_x_exponential,biphasic,exponential,60,0.04234269016285567,0.0362661731896425,0.027346594483419025,283.8,0.5675999999999999,282.7,10,10
biphasic_x_exponential,biphasic,exponential,80,0.03507743660071768,0.03772654227186999,0.028447789276676214,312.1,0.6241999999999999,311.1,10,10
biphasic_x_exponential,biphasic,exponential,100,0.017671194008723135,0.00680436293308521,0.005130846115912546,343.7,0.6874,342.7,10,10
biphasic_x_linear,biphasic,linear,0,21.639520148912272,4.07237097725073,3.0707810586622952,229.4,0.4588,0.0,10,10
biphasic_x_linear,biphasic,linear,5,15.126217621190861,8.628553715892421,6.506381531159131,223.8,0.4476000000000001,0.2,10,10
biphasic_x_linear,biphasic,linear,10,12.730986106798383,7.87538666198352,5.938454115883885,222.4,0.44480000000000003,0.5,10,10
biphasic_x_linear,biphasic,linear,15,9.889445183337077,6.444334309251647,4.8593656725000125,207.4,0.41479999999999995,1.5,10,10
biphasic_x_linear,biphasic,linear,20,8.490492301698257,8.466147596726925,6.383918809238612,175.9,0.3518,5.2,10,10
biphasic_x_linear,biphasic,linear,23,5.939774221730758,5.625339972486987,4.241801037416974,152.8,0.3056,38.3,10,10
biphasic_x_linear,biphasic,linear,25,5.022331058712832,4.600827472206908,3.4692649404362585,185.1,0.3702,76.4,10,10
biphasic_x_linear,biphasic,linear,30,6.955569798646886,7.407280138171049,5.585477273943514,132.7,0.26539999999999997,40.3,10,10
biphasic_x_linear,biphasic,linear,40,0.5688809809275026,1.4066429427825076,1.060682469531206,214.0,0.42799999999999994,192.3,10,10
biphasic_x_linear,biphasic,linear,60,0.1,0.0,0.0,299.7,0.5993999999999999,273.2,10,10
biphasic_x_linear,biphasic,linear,80,0.1,0.0,0.0,324.0,0.648,293.8,10,10
biphasic_x_linear,biphasic,linear,100,0.1,0.0,0.0,352.6,0.7051999999999999,311.7,10,10
inhibitory_x_constant,inhibitory,constant,0,22.449967351782643,9.484144908110176,7.151542112475889,202.7,0.40540000000000004,0.3,10,10
inhibitory_x_constant,inhibitory,constant,5,21.395306881966853,9.53717453876476,7.191529232085481,195.5,0.39099999999999996,0.8,10,10
inhibitory_x_constant,inhibitory,constant,10,21.44215440866005,10.336509015097484,7.794269302469581,196.1,0.3922,2.2,10,10
inhibitory_x_constant,inhibitory,constant,15,22.127454220212137,8.18484979696934,6.171805531699705,198.1,0.39620000000000005,3.6,10,10
inhibitory_x_constant,inhibitory,constant,20,21.10218698622061,3.546748480581243,2.674434160062917,205.8,0.41159999999999997,8.0,10,10
inhibitory_x_constant,inhibitory,constant,23,10.577325975240074,3.781970751032269,2.851804074717448,145.9,0.2918,40.2,10,10
inhibitory_x_constant,inhibitory,constant,25,12.681021937268834,5.11598010121978,3.8577170103311214,175.6,0.35119999999999996,64.4,10,10
inhibitory_x_constant,inhibitory,constant,30,6.903469445816441,10.1844560693745,7.67961341570281,98.8,0.1976,33.9,10,10
inhibitory_x_constant,inhibitory,constant,40,2.7175935473772226,6.451032703786924,4.864416612892545,174.8,0.3496,152.8,10,10
inhibitory_x_constant,inhibitory,constant,60,0.10073627193293999,0.04974781008310127,0.037512454971930974,283.2,0.5664,282.2,10,10
inhibitory_x_constant,inhibitory,constant,80,0.10073627193293999,0.04974781008310127,0.037512454971930974,312.2,0.6244,311.2,10,10
inhibitory_x_constant,inhibitory,constant,100,0.10073627193293999,0.04974781008310127,0.037512454971930974,340.1,0.6802,339.1,10,10
inhibitory_x_exponential,inhibitory,exponential,0,31.921830998835958,6.499112707679024,4.900671454624067,247.7,0.49540000000000006,0.4,10,10
inhibitory_x_exponential,inhibitory,exponential,5,32.64293052581189,9.718898375301245,7.3285585249129275,236.3,0.4726,0.6,10,10
inhibitory_x_exponential,inhibitory,exponential,10,33.357288943431044,8.35837812207113,6.302654979562066,236.1,0.47219999999999995,1.4,10,10
inhibitory_x_exponential,inhibitory,exponential,15,28.50259743934664,7.6861973061631526,5.795795430415619,231.6,0.46319999999999995,8.7,10,10
inhibitory_x_exponential,inhibitory,exponential,20,24.827508714986713,9.579174999789455,7.223199780002209,195.7,0.3914,7.3,10,10
inhibitory_x_exponential,inhibitory,exponential,23,14.330044703972632,7.804555453149363,5.885043673744617,158.8,0.3176,39.7,10,10
inhibitory_x_exponential,inhibitory,exponential,25,13.92857007534588,6.301605434033959,4.751740623360078,182.0,0.364,72.0,10,10
inhibitory_x_exponential,inhibitory,exponential,30,13.354253529596864,7.46953110635502,5.632417765134171,164.1,0.32820000000000005,47.8,10,10
inhibitory_x_exponential,inhibitory,exponential,40,0.3219399306974425,0.44379036403200295,0.33464118360020795,153.6,0.30720000000000003,150.6,10,10
inhibitory_x_exponential,inhibitory,exponential,60,0.14222948185312662,0.07800961922944728,0.058823339637138344,283.5,0.567,282.5,10,10
inhibitory_x_exponential,inhibitory,exponential,80,0.16632555295004656,0.10687633962647382,0.08059035907521839,313.8,0.6276,312.7,10,10
inhibitory_x_exponential,inhibitory,exponential,100,0.18578471705973335,0.17905085613370264,0.1350137255726714,340.9,0.6818000000000001,339.9,10,10
inhibitory_x_linear,inhibitory,linear,0,30.599729214931592,4.869779477020018,3.6720688418202405,230.8,0.46159999999999995,0.2,10,10
inhibitory_x_linear,inhibitory,linear,5,31.903784789117413,5.395675254497757,4.068621808465572,238.3,0.4766,0.6,10,10
inhibitory_x_linear,inhibitory,linear,10,31.570181444245776,8.279876205572684,6.243460421993824,220.9,0.4417999999999999,0.5,10,10
inhibitory_x_linear,inhibitory,linear,15,22.96409976031257,7.799155418067177,5.880971764397675,186.7,0.3734,5.3,10,10
inhibitory_x_linear,inhibitory,linear,20,21.80356319850473,4.592869368577052,3.463264113393254,191.7,0.38339999999999996,15.4,10,10
inhibitory_x_linear,inhibitory,linear,23,16.761942658082393,8.361844838501504,6.305269065363584,179.2,0.3584,46.9,10,10
