batch_index,time,strain,intact_edges,ruptured_edges_total,newly_ruptured,mean_tension,lysis_fraction,param_lambda_0,param_dt,param_delta,param_force_alpha,param_force_F0,param_force_hill_n,param_rate_beta,param_plastic_rate,param_rupture_gamma,param_fracture_Gc,param_fracture_eta,param_coop_chi,param_aniso_kappa,param_memory_mu,param_memory_rho
0.0,0.05,0.06,239.0,16.0,16.0,0.2149789180149302,0.06640140111474879,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
1.0,0.1,0.06,224.0,31.0,15.0,0.022696527309532404,0.12265031985766284,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
2.0,0.15000000000000002,0.06,221.0,34.0,3.0,0.0011209414135047334,0.14823588431880907,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
3.0,0.2,0.06,221.0,34.0,0.0,0.0011209414135047334,0.14823588431880907,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
