time_s,turbidity_proxy,lysis_front_x_um,lysis_front_vel_um_min,pct_fibers_intact,cleavage_rate_per_s,lysis_fraction,n_intact,n_ruptured,n_total,mean_integrity,n_cleavage_events,energy_J
0.0,1.0,0.0,359.5464358568986,100.0,7.707062485955281,0.0,500,0,500,1.0,0,0.0
0.04311175474404443,0.998,0.0,286.1934774504874,99.8,7.431707547924056,0.002,499,1,500,0.998,1,5.728177982435542e-18
5.09251488692052,0.91,81.87347592922038,236.060421375148,91.0,7.328676816211376,0.09,455,45,500,0.91,45,5.689526686490706e-18
10.17463613616205,0.836,91.9976432742382,201.2187166576065,83.6,6.802288862693139,0.164,418,82,500,0.836,82,5.661218699714895e-18
15.180881199965773,0.766,90.97052881024486,178.20672323962117,76.6,6.434205862603149,0.234,383,117,500,0.766,117,5.632043794315208e-18
20.183786704833455,0.7,96.27446841958668,178.43272980579172,70.0,6.412948699903654,0.3,350,150,500,0.7,150,5.6084293217337885e-18
25.243301709084967,0.63,99.31574063910985,39.84146815480777,63.0,6.011542244032715,0.37,315,185,500,0.63,185,5.57851667538761e-18
30.43093349582412,0.586,102.05455641204502,22.870237640407627,58.6,5.741298349228634,0.414,293,207,500,0.586,207,5.559922761172923e-18
34.036834486889894,0.562,101.09321238929968,32.210570608724986,56.2,5.409432153755551,0.436,281,219,500,0.562,219,5.55091467450301e-18
