batch_index,time,strain,intact_edges,ruptured_edges_total,newly_ruptured,mean_tension,lysis_fraction,param_lambda_0,param_dt,param_delta,param_force_alpha,param_force_F0,param_force_hill_n,param_rate_beta,param_plastic_rate,param_rupture_gamma,param_fracture_Gc,param_fracture_eta,param_coop_chi,param_aniso_kappa,param_memory_mu,param_memory_rho
0.0,0.05,0.1,239.0,16.0,16.0,0.3699810437686425,0.06700852660361467,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
1.0,0.1,0.1,224.0,31.0,15.0,0.03787336909129265,0.12289719269297772,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
2.0,0.15000000000000002,0.1,219.0,36.0,5.0,0.001536437734150221,0.15689799625249534,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
3.0,0.2,0.1,211.0,44.0,8.0,0.0003465687675029956,0.20282401282262463,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
4.0,0.25,0.1,209.0,46.0,2.0,0.00019119549467973374,0.22797673778052951,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
5.0,0.3,0.1,204.0,51.0,5.0,8.40188470150987e-05,0.2643590665475657,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
6.0,0.35,0.1,199.0,56.0,5.0,2.889054506941474e-05,0.30011918638697743,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
7.0,0.39999999999999997,0.1,199.0,56.0,0.0,2.889054506941474e-05,0.30011918638697765,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
