strain_pct,seed,clearance_time,n_ruptured,lysis_fraction,mean_fiber_strain_initial,n_fragile_initial,n_total,reason,wall_s
10,13,49.496426848717675,289,0.576,0.27074929387738134,9,500,network_cleared,6.155314683914185
10,14,30.07207808829065,198,0.394,0.27074929387738134,9,500,network_cleared,4.429848670959473
15,0,50.72468723613455,260,0.518,0.2917996259903032,9,500,network_cleared,5.593642950057983
15,1,47.95030211062643,245,0.488,0.2917996259903032,9,500,network_cleared,5.321225881576538
15,2,38.44608143730731,241,0.48,0.2917996259903032,9,500,network_cleared,5.276321649551392
15,3,28.835078340520795,201,0.4,0.2917996259903032,9,500,network_cleared,4.401036977767944
15,4,32.611595506919116,212,0.422,0.2917996259903032,9,500,network_cleared,4.621880531311035
15,5,26.571220798647445,198,0.394,0.2917996259903032,9,500,network_cleared,4.304282188415527
15,6,54.30617588061729,279,0.556,0.2917996259903032,9,500,network_cleared,6.013035774230957
15,7,37.02195764420687,233,0.464,0.2917996259903032,9,500,network_cleared,5.085680246353149
15,8,45.44215511468234,246,0.49,0.2917996259903032,9,500,network_cleared,5.428621530532837
15,9,24.652246696053393,167,0.332,0.2917996259903032,9,500,network_cleared,3.7013769149780273
15,10,39.195281814775235,234,0.466,0.2917996259903032,9,500,network_cleared,5.096835374832153
15,11,39.57895249099169,239,0.476,0.2917996259903032,9,500,network_cleared,5.1984617710113525
15,12,34.08870221260646,221,0.44,0.2917996259903032,9,500,network_cleared,4.828938007354736
15,13,34.47569167754863,219,0.436,0.2917996259903032,9,500,network_cleared,4.759326219558716
15,14,23.988311308442192,161,0.32,0.2917996259903032,9,500,network_cleared,3.629019021987915
18,0,36.287647094057384,219,0.436,0.3044696228782682,9,500,network_cleared,4.763709783554077
18,1,31.07940503054215,210,0.418,0.3044696228782682,9,500,network_cleared,4.617475271224976
18,2,45.97944004562593,252,0.502,0.3044696228782682,9,500,network_cleared,5.441056966781616
18,3,41.39401369904481,258,0.514,0.3044696228782682,9,500,network_cleared,5.539665222167969
18,4,37.29593686655198,241,0.48,0.3044696228782682,9,500,network_cleared,5.2297210693359375
18,5,47.0242436772799,280,0.558,0.3044696228782682,9,500,network_cleared,6.026928663253784
18,6,21.104145460018298,163,0.324,0.3044696228782682,9,500,network_cleared,3.6366922855377197
18,7,44.05150574967035,258,0.514,0.3044696228782682,9,500,network_cleared,5.544008016586304
18,8,58.18125776168381,296,0.59,0.3044696228782682,9,500,network_cleared,6.283696413040161
18,9,30.532893440737794,226,0.45,0.3044696228782682,9,500,network_cleared,4.912262916564941
18,10,28.928066689071805,197,0.392,0.3044696228782682,9,500,network_cleared,4.357984781265259
18,11,28.74340280146363,175,0.348,0.3044696228782682,9,500,network_cleared,3.952385902404785
18,12,35.02867254760848,210,0.418,0.3044696228782682,9,500,network_cleared,4.652113437652588
18,13,37.949359046113585,229,0.456,0.3044696228782682,9,500,network_cleared,4.952160835266113
18,14,46.58263280904598,282,0.562,0.3044696228782682,9,500,network_cleared,6.047785043716431
20,0,55.92570781025249,304,0.606,0.31292606050330374,9,500,network_cleared,6.417356729507446
20,1,24.215129172067016,157,0.312,0.31292606050330374,9,500,network_cleared,3.523435592651367
20,2,45.99398409545002,252,0.502,0.31292606050330374,9,500,network_cleared,5.534784317016602
20,3,45.70364571333872,261,0.52,0.31292606050330374,9,500,network_cleared,5.627779245376587
20,4,43.12402958411056,246,0.49,0.31292606050330374,9,500,network_cleared,5.354339838027954
20,5,46.19291047450638,274,0.546,0.31292606050330374,9,500,network_cleared,5.888226747512817
20,6,32.06816377274865,219,0.436,0.31292606050330374,9,500,network_cleared,4.790193319320679
20,7,43.12995585267124,250,0.498,0.31292606050330374,9,500,network_cleared,5.4225664138793945
20,8,40.755534915165775,230,0.458,0.31292606050330374,9,500,network_cleared,4.986997604370117
20,9,30.54241348834292,226,0.45,0.31292606050330374,9,500,network_cleared,4.925935745239258
20,10,41.929649761458364,247,0.492,0.31292606050330374,9,500,network_cleared,5.403223276138306
20,11,39.86679503019398,242,0.482,0.31292606050330374,9,500,network_cleared,5.213710308074951
