seed,cleavage_time_s,censored
309,81.8297,False
310,48.5533,False
311,38.1718,False
312,84.6897,False
313,75.3971,False
314,69.5371,False
315,87.9150,False
316,80.8044,False
317,38.7394,False
318,80.3253,False
319,81.5028,False
320,98.6276,False
321,72.9468,False
322,89.0350,False
323,66.9451,False
324,56.6839,False
325,52.1883,False
326,72.8890,False
327,130.6175,False
328,64.2940,False
329,70.9081,False
330,71.5116,False
331,79.6140,False
332,62.5690,False
333,42.6151,False
334,50.0444,False
335,56.9397,False
336,49.8535,False
337,41.4067,False
338,52.0617,False
339,64.1290,False
340,77.3390,False
341,59.4836,False
342,88.1924,False
343,57.4123,False
344,40.7552,False
345,80.5256,False
346,59.3426,False
347,100.9904,False
348,83.5027,False
349,64.9927,False
350,80.2469,False
351,73.9385,False
352,68.7555,False
353,42.6820,False
354,54.5778,False
355,88.8106,False
356,69.3124,False
357,44.4644,False
358,69.3727,False
359,75.5378,False
360,103.9070,False
361,74.1242,False
362,81.5826,False
363,62.6378,False
364,65.8467,False
365,58.5870,False
366,62.4293,False
367,50.9871,False
368,58.1333,False
369,46.4480,False
370,58.5941,False
371,43.3746,False
372,63.3366,False
373,86.7159,False
374,49.9990,False
375,62.8413,False
376,57.5923,False
377,79.1084,False
378,48.8592,False
379,43.0388,False
380,61.3432,False
381,49.4610,False
382,116.3214,False
383,60.8080,False
384,66.8044,False
385,41.1863,False
386,55.3270,False
387,73.1415,False
388,61.9938,False
389,34.5425,False
390,85.3371,False
391,61.2532,False
392,53.4168,False
393,86.9190,False
394,74.7284,False
395,90.5130,False
396,69.9942,False
397,96.0945,False
398,27.6650,False
399,56.7880,False
400,84.0170,False
401,38.2709,False
402,56.0097,False
403,143.0663,False
404,114.4934,False
405,56.7060,False
406,69.5871,False
407,108.2538,False
408,87.0488,False
409,38.8455,False
410,44.1950,False
411,43.1704,False
412,51.7883,False
413,79.1528,False
414,83.6018,False
415,57.1067,False
416,64.5935,False
417,82.6229,False
418,46.9276,False
419,69.7376,False
420,51.9111,False
421,71.9015,False
422,57.9975,False
423,61.0392,False
424,70.4854,False
425,45.4458,False
426,61.6027,False
427,69.7208,False
428,96.2685,False
429,65.3848,False
430,41.0470,False
431,83.9666,False
432,99.3242,False
433,127.3321,False
434,82.1572,False
435,60.5971,False
436,56.0315,False
437,51.0763,False
438,64.1118,False
439,64.8716,False
440,67.6824,False
441,80.1519,False
442,86.9077,False
443,92.1781,False
444,40.9566,False
445,63.5593,False
446,67.9365,False
447,43.7031,False
448,86.4273,False
449,43.2508,False
450,33.9278,False
451,71.3789,False
452,75.6890,False
453,51.7592,False
454,47.6695,False
455,49.3001,False
456,50.7261,False
457,78.0518,False
458,80.7726,False
459,73.8596,False
460,82.8932,False
461,77.6069,False
462,48.0352,False
463,77.9802,False
464,62.0281,False
465,40.3582,False
466,49.2082,False
467,77.8708,False
468,61.0714,False
469,54.6066,False
470,88.7401,False
471,36.3558,False
472,88.9536,False
473,77.4192,False
474,48.0113,False
475,57.2298,False
476,49.0625,False
477,57.7459,False
478,74.8603,False
479,40.0389,False
480,63.5166,False
481,29.7449,False
482,52.4056,False
483,69.3736,False
484,53.0030,False
485,40.4546,False
486,65.1220,False
487,41.5457,False
488,62.0460,False
489,96.7136,False
490,63.1415,False
491,89.6093,False
492,47.6549,False
493,51.5948,False
494,58.6951,False
495,45.7828,False
496,74.2706,False
497,56.3163,False
498,56.8456,False
499,163.3210,False
