batch_index,time,strain,intact_edges,ruptured_edges_total,newly_ruptured,mean_tension,lysis_fraction,param_lambda_0,param_dt,param_delta,param_force_alpha,param_force_F0,param_force_hill_n,param_rate_beta,param_plastic_rate,param_rupture_gamma,param_fracture_Gc,param_fracture_eta,param_coop_chi,param_aniso_kappa,param_memory_mu,param_memory_rho
0.0,0.05,0.04,239.0,16.0,16.0,0.13893826940052978,0.06595199379851335,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
1.0,0.1,0.04,224.0,31.0,15.0,0.015070474991604072,0.12250798037436383,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
2.0,0.15000000000000002,0.04,221.0,34.0,3.0,0.0008204548222271503,0.14300626716204234,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
3.0,0.2,0.04,206.0,49.0,15.0,0.00020507005039053052,0.20518975168385523,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
4.0,0.25,0.04,206.0,49.0,0.0,0.00020507005039053052,0.20518975168385534,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
