applied_strain,mean_clearance_time,std_clearance_time,sem_clearance_time,dominant_failure_mode,mode_fraction,n_realizations
0,9.862437794,1.434739383,0.45370443,ENZYMATIC,0.8,10
0.05,9.472404558,1.452830081,0.459425211,MECHANICAL,0.6,10
0.1,10.2403392,1.033413543,0.326794056,ENZYMATIC,0.8,10
0.15,10.03216455,0.656083274,0.207471748,ENZYMATIC,1,10
0.2,10.18536032,1.213400206,0.383710837,ENZYMATIC,0.8,10
0.25,9.67304751,1.105416016,0.349563237,ENZYMATIC,0.5,10
0.3,10.07545189,1.109956216,0.350998975,ENZYMATIC,0.7,10
